"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19854","1985Q4","-","All types of construction","Number","5214"
"BHQ03C1","Planning Permissions Granted","19854","1985Q4","11","Dwellings","Number","1842"
"BHQ03C1","Planning Permissions Granted","19854","1985Q4","12","Other new construction (excluding dwellings)","Number","929"
"BHQ03C1","Planning Permissions Granted","19854","1985Q4","2","Extensions","Number","1818"
"BHQ03C1","Planning Permissions Granted","19854","1985Q4","3","Alteration, conversion and renovation","Number","625"
"BHQ03C1","Planning Permissions Granted","19861","1986Q1","-","All types of construction","Number","4894"
"BHQ03C1","Planning Permissions Granted","19861","1986Q1","11","Dwellings","Number","1683"
"BHQ03C1","Planning Permissions Granted","19861","1986Q1","12","Other new construction (excluding dwellings)","Number","794"
"BHQ03C1","Planning Permissions Granted","19861","1986Q1","2","Extensions","Number","1815"
"BHQ03C1","Planning Permissions Granted","19861","1986Q1","3","Alteration, conversion and renovation","Number","602"
"BHQ03C1","Planning Permissions Granted","19862","1986Q2","-","All types of construction","Number","6836"
"BHQ03C1","Planning Permissions Granted","19862","1986Q2","11","Dwellings","Number","2078"
"BHQ03C1","Planning Permissions Granted","19862","1986Q2","12","Other new construction (excluding dwellings)","Number","885"
"BHQ03C1","Planning Permissions Granted","19862","1986Q2","2","Extensions","Number","3210"
"BHQ03C1","Planning Permissions Granted","19862","1986Q2","3","Alteration, conversion and renovation","Number","663"
"BHQ03C1","Planning Permissions Granted","19863","1986Q3","-","All types of construction","Number","8160"
"BHQ03C1","Planning Permissions Granted","19863","1986Q3","11","Dwellings","Number","2254"
"BHQ03C1","Planning Permissions Granted","19863","1986Q3","12","Other new construction (excluding dwellings)","Number","1313"
"BHQ03C1","Planning Permissions Granted","19863","1986Q3","2","Extensions","Number","3757"
"BHQ03C1","Planning Permissions Granted","19863","1986Q3","3","Alteration, conversion and renovation","Number","836"
"BHQ03C1","Planning Permissions Granted","19864","1986Q4","-","All types of construction","Number","6903"
"BHQ03C1","Planning Permissions Granted","19864","1986Q4","11","Dwellings","Number","1738"
"BHQ03C1","Planning Permissions Granted","19864","1986Q4","12","Other new construction (excluding dwellings)","Number","1364"
"BHQ03C1","Planning Permissions Granted","19864","1986Q4","2","Extensions","Number","3069"
"BHQ03C1","Planning Permissions Granted","19864","1986Q4","3","Alteration, conversion and renovation","Number","732"
"BHQ03C1","Planning Permissions Granted","19871","1987Q1","-","All types of construction","Number","5481"
"BHQ03C1","Planning Permissions Granted","19871","1987Q1","11","Dwellings","Number","1536"
"BHQ03C1","Planning Permissions Granted","19871","1987Q1","12","Other new construction (excluding dwellings)","Number","1046"
